(Intercept),vix_f,vix^2,vix^3,vix^4,vix^5,vix^6,vix_ln,vix_sqrt,vix_1ov,adjR^2,AIC,delta
-2.197857444,0.901835748,,,,,,,,,0.547227454,53575.49578,125.7162952
18833.50735,10214.92714,-100.0459101,1.312847692,-0.012881639,7.61E-05,-1.98E-07,90009.27406,-104360.7989,106022.0538,0.555081223,53449.77949,0
16.87066724,-3.066463703,0.334224599,-0.014307104,0.000317436,-3.41E-06,1.39E-08,,,,0.554485682,53454.61285,4.833356891
30.97411594,,0.248884192,-0.012203678,0.00028529,-3.14E-06,1.30E-08,,-12.02278757,,0.554485625,53454.61387,4.834385314
28.42055828,,0.205684866,-0.010774028,0.000260565,-2.92E-06,1.22E-08,-14.0404466,,,0.554483144,53454.65897,4.879485853
71.22728968,8.847808281,,-0.006006894,0.000189706,-2.35E-06,1.03E-08,,-46.52442816,,0.55447963,53454.72287,4.943381145
1665.678842,301.9764354,-3.802628696,0.052333705,-0.000435814,1.53E-06,,1447.467622,-2428.072183,,0.554588019,53454.75228,4.972793235
1639.063937,168.666228,-2.788267446,0.042644672,-0.000374196,1.35E-06,,,-909.0840558,-2031.851805,0.554585524,53454.79765,5.018162908
1617.666677,88.62739458,-2.175412215,0.036755629,-0.000336535,1.24E-06,,-863.5121563,,-3236.335882,0.554583041,53454.8428,5.06330885
-10.97987286,,0.161593556,-0.00893636,0.000224766,-2.58E-06,1.10E-08,,,100.0017494,0.554471966,53454.86218,5.0826955
46.1968024,4.848410288,,-0.00505592,0.00016756,-2.12E-06,9.45E-09,-35.97181178,,,0.554470559,53454.88776,5.108276061
1590.058179,,-1.493908466,0.030180021,-0.000294323,1.12E-06,,-1815.623831,1004.487286,-4558.910686,0.554579417,53454.90869,5.129198065
108.5795696,17.17918074,-0.237838688,,9.58E-05,-1.55E-06,7.56E-09,,-78.77359095,,0.554465644,53454.97709,5.197605084
1516.825084,-192.9737791,,0.015670494,-0.000200596,8.48E-07,,-3874.94152,3184.294083,-7401.219398,0.554568237,53455.11197,5.332486278
1280.463718,67.97189101,-1.584373692,0.024187542,-0.000168554,,3.87E-09,-677.3041934,,-2567.090509,0.554567936,53455.11743,5.337944614
1291.571594,,-1.099379779,0.020069421,-0.000148913,,3.58E-09,-1445.766886,791.9509693,-3676.012853,0.554567723,53455.12132,5.34182892
1267.04768,127.5601348,-2.00730713,0.027760593,-0.000185515,,4.11E-09,,-696.1363023,-1584.52225,0.554567468,53455.12596,5.346470534
15.80716546,,,-0.003893906,0.000140401,-1.85E-06,8.40E-09,-79.41112363,56.29005142,,0.554457062,53455.1331,5.353615313
1236.178218,222.0031969,-2.67201597,0.033331822,-0.000211768,,4.49E-09,1082.80739,-1804.227496,,0.554565427,53455.16305,5.383562659
1303.458233,-152.9107806,,0.010665389,-0.000103751,,2.91E-09,-3161.423739,2566.754259,-6133.54353,0.554564319,53455.18321,5.403724263
60.89554275,9.002065749,-0.179061198,,8.41E-05,-1.40E-06,6.88E-09,-54.46371647,,,0.554450748,53455.24787,5.468382518
1148.508124,-237.199981,0.819839763,,,-6.08E-07,4.48E-09,-3906.885414,3429.96984,-7010.452689,0.554555889,53455.33648,5.556995877
1299.415095,-323.1281725,1.235354132,,-5.21E-05,,2.13E-09,-5053.712074,4533.262063,-8820.248992,0.554555589,53455.34193,5.562437718
1060.614091,-108.8515901,,0.005256308,,-9.01E-07,5.98E-09,-2370.276666,1884.782135,-4717.225016,0.554555528,53455.34304,5.563549326
-36.35730015,2.832026814,,-0.003843797,0.00013585,-1.78E-06,8.08E-09,,,189.9532717,0.554444317,53455.36477,5.585282229
144.861765,25.37093591,-0.474654122,0.006056504,,-7.37E-07,4.71E-09,,-110.2875322,,0.554443008,53455.38857,5.609081082
971.0225454,,-0.687646521,0.00961752,,-1.14E-06,7.18E-09,-1052.727653,567.0719075,-2730.054823,0.554551469,53455.41684,5.63734925
1421.648216,-397.7788319,1.599463423,,-9.85E-05,5.47E-07,,-6041.909606,5487.777372,-10367.95211,0.554551088,53455.42377,5.644285324
926.8994692,46.62089767,-0.979386085,0.011450934,,-1.24E-06,7.68E-09,-483.0265572,,-1862.781452,0.554548665,53455.46782,5.688334513
885.7514926,85.84343059,-1.222957841,0.012970452,,-1.32E-06,8.08E-09,,-478.9363377,-1121.804882,0.554545779,53455.5203,5.740807458
4006.131706,739.855588,-10.15786559,0.162131821,-0.001767406,1.09E-05,-2.82E-08,3395.965881,-5801.526956,,0.554652771,53455.57483,5.795343229
809.4557272,-65.12861028,,,9.98E-05,-1.76E-06,8.87E-09,-1577.244362,1204.562517,-3284.108406,0.554542417,53455.58141,5.801923298
8.377223927,,-0.114042582,,7.11E-05,-1.22E-06,6.11E-09,-114.1454289,86.5171543,,0.554431895,53455.59057,5.811079845
1279.209601,-489.9475291,2.457476369,-0.010650912,,,1.33E-09,-6891.442537,6451.669335,-11407.22905,0.554541531,53455.59752,5.818027598
814.2242328,143.5924534,-1.576686663,0.01514838,,-1.43E-06,8.64E-09,721.1972582,-1189.037294,,0.554540507,53455.61614,5.836652288
660.7655259,,-0.30402498,,0.000135356,-2.16E-06,1.04E-08,-677.5798736,353.675784,-1817.129378,0.55453256,53455.76063,5.981141121
74.80427871,13.03875899,-0.355261553,0.005037553,,-6.55E-07,4.23E-09,-72.22101122,,,0.554422278,53455.76536,5.985875887
-86.68612668,,,-0.002811827,0.000109996,-1.51E-06,7.01E-09,,21.83158598,278.3211335,0.554421868,53455.77281,5.993326568
1314.818215,-589.8297111,3.113956257,-0.014983053,,2.54E-07,,-8054.938134,7637.57292,-13099.65814,0.554529387,53455.81831,6.038826456
593.7408982,26.89555492,-0.427954048,,0.000149501,-2.32E-06,1.10E-08,-301.2105579,,-1195.668171,0.554527642,53455.85003,6.070544753
175.5407188,32.38571237,-0.68014101,0.011382242,-8.53E-05,,2.11E-09,,-137.1010194,,0.554415157,53455.8948,6.115311213
-54.39274793,4.885941577,-0.119602969,,6.75E-05,-1.16E-06,5.79E-09,,,252.6452709,0.554413942,53455.91688,6.137396553
536.2013087,48.139177,-0.524545519,,0.000160245,-2.44E-06,1.14E-08,,-281.2068638,-691.9749825,0.554523328,53455.92846,6.148972787
448.1575202,75.76672483,-0.646553529,,0.000173044,-2.58E-06,1.19E-08,402.919905,-652.1665924,,0.554516812,53456.04691,6.267426778
400.3764545,,,-0.007479274,0.000238676,-2.93E-06,1.27E-08,-369.2051563,179.8029832,-1054.028939,0.554514715,53456.08504,6.305552548
3070.55024,329.8181309,-5.911870191,0.103436176,-0.001161391,7.12E-06,-1.79E-08,,-1736.010526,-3724.070233,0.554620332,53456.16472,6.385231465
321.4102744,11.2595646,,-0.008696391,0.000260616,-3.11E-06,1.33E-08,-154.1543714,,-645.8949284,0.554508701,53456.19437,6.414885671
0.7365305,,-0.22835221,0.003948776,,-5.66E-07,3.72E-09,-148.1878506,116.3018148,,0.554397751,53456.21116,6.431667972
1209.183468,-749.5606508,4.38797647,-0.027731592,8.48E-05,,,-9710.885693,9415.664263,-15323.59198,0.554506212,53456.23962,6.460133602
-151.2754198,,,-0.002118002,9.04E-05,-1.29E-06,6.10E-09,50.20389877,,453.6215931,0.554394666,53456.26722,6.487727356
260.7981523,19.11435161,,-0.009495833,0.000274574,-3.22E-06,1.37E-08,,-127.1851627,-346.0032099,0.554504111,53456.27783,6.498340332
-82.50787208,-15.54886264,,,4.76E-05,-8.97E-07,4.70E-09,-215.6330894,234.7908383,,0.55439255,53456.30569,6.52620141
86.09022803,16.41457097,-0.504692897,0.009370428,-7.34E-05,,1.87E-09,-86.87309257,,,0.554389751,53456.35655,6.577064259
183.4714001,26.97465799,,-0.01015026,0.000284609,-3.29E-06,1.38E-08,166.6552284,-259.6935234,,0.55449848,53456.38019,6.600699993
-118.5953501,,-0.072174828,,5.60E-05,-9.92E-07,5.06E-09,,31.16775264,351.3831194,0.554388092,53456.38671,6.607223909
198.3446964,37.67711293,-0.837534722,0.015524826,-0.000152728,5.90E-07,,,-157.176823,,0.554387121,53456.40435,6.624859836
2639.35816,152.7255893,-4.040445372,0.077111987,-0.00088553,5.38E-06,-1.31E-08,-1432.403893,,-5252.013611,0.554605077,53456.44212,6.662628199
116.1027376,,0.298357738,-0.01455754,0.000332957,-3.60E-06,1.47E-08,-45.00332458,,-226.3442135,0.554493348,53456.47349,6.694006505
71.91362505,,0.330310566,-0.01519207,0.000339698,-3.64E-06,1.48E-08,,-23.61738798,-99.95338971,0.554490068,53456.53312,6.753628333
35.47642424,,0.328432601,-0.01481024,0.000329973,-3.53E-06,1.44E-08,26.43630788,-34.53023434,,0.554487465,53456.58044,6.800951933
26.38275176,-4.091792431,0.390799627,-0.016035221,0.000346772,-3.67E-06,1.48E-08,,,-34.90029057,0.554486633,53456.59556,6.816072063
23.1604196,-1.701898806,0.296329077,-0.013374929,0.000303215,-3.29E-06,1.35E-08,,-5.355945782,,0.554485784,53456.61098,6.831495392
15.54994611,-3.410313615,0.348516217,-0.014696846,0.000323665,-3.46E-06,1.41E-08,1.588352019,,,0.554485708,53456.61237,6.832879313
-71.35607884,6.840827373,-0.234869659,0.003751451,,-5.31E-07,3.48E-09,,,310.9689537,0.554375251,53456.62009,6.840601084
2244.158461,,-2.39422447,0.053572652,-0.000635462,3.79E-06,-8.62E-09,-2638.257025,1480.092198,-6500.466274,0.554590994,53456.69818,6.918692101
1675.459746,395.3981393,-4.507494658,0.059013265,-0.000477986,1.65E-06,,2470.748917,-3497.199584,1449.150534,0.554588539,53456.74283,6.963341093
-5.810830118,,-0.32329338,0.007278294,-6.08E-05,,1.62E-09,-175.640086,140.4926024,,0.554360953,53456.87994,7.100447223
-189.4337695,,-0.048346432,,4.72E-05,-8.60E-07,4.45E-09,64.0602751,,547.3767358,0.554359152,53456.91267,7.133182101
94.01392061,18.87768879,-0.615637325,0.012643655,-0.000129699,5.11E-07,,-97.38484277,,,0.554358765,53456.9197,7.14021554
1606.324549,-210.1739377,,0.017844868,-0.000242922,1.22E-06,-1.29E-09,-4179.602141,3448.68319,-7939.776202,0.554568641,53457.10462,7.325129736
1283.39562,52.26197051,-1.47250522,0.023239492,-0.00016404,,3.80E-09,-855.2750029,183.2247719,-2824.421735,0.554567958,53457.11705,7.337558201
-130.5639043,-23.10870303,,0.001961608,,-4.01E-07,2.75E-09,-280.7643177,320.8412332,,0.554346709,53457.13879,7.359305627
-150.3480426,,-0.145388676,0.002882246,,-4.51E-07,3.01E-09,,40.49974256,423.4972605,0.554344816,53457.1732,7.39370892
-211.8873096,-7.269199981,,,3.77E-05,-7.29E-07,3.87E-09,,76.99803413,491.4793467,0.554342836,53457.20919,7.429696913
1216.733791,-275.2902127,1.003568426,,-2.29E-05,-3.41E-07,3.45E-09,-4416.461907,3919.628649,-7816.388986,0.554556365,53457.32781,7.548326747
1113.222063,-182.8121768,0.471402017,0.002240504,,-7.34E-07,5.12E-09,-3257.634249,2776.152684,-6044.199816,0.554556328,53457.3285,7.549014149
-84.67110563,8.39968967,-0.328299079,0.006842182,-5.65E-05,,1.50E-09,,,356.0743699,0.554335182,53457.34828,7.568789508
2.674608769,,0.083160407,-0.004309044,0.000112054,-1.33E-06,5.73E-09,,,,0.554223445,53457.37855,7.599064311
-10.68888234,,-0.39131223,0.009712149,-0.000106129,4.29E-07,,-194.5253352,157.3013564,,0.554327635,53457.48542,7.705931345
-273.2304674,-3.202356826,,,3.27E-05,-6.42E-07,3.44E-09,104.5310096,,726.6594703,0.554315076,53457.71363,7.934145168
-230.104763,,-0.100496177,0.002300428,,-3.88E-07,2.61E-09,78.85013307,,647.1230532,0.554312253,53457.76494,7.985453425
-166.8745962,-28.78615958,,0.003493178,-3.78E-05,,1.15E-09,-328.7422695,384.8394799,,0.554302645,53457.93953,8.160041929
-174.6935855,,-0.203558668,0.00521348,-4.60E-05,,1.27E-09,,47.71737644,477.8720514,0.554301763,53457.95556,8.1760672
-93.48923452,9.456534935,-0.393146929,0.009037017,-9.75E-05,3.93E-07,,,,385.2743999,0.554300163,53457.98463,8.205140953
-318.3888688,,,,2.85E-05,-5.70E-07,3.07E-09,184.8933433,-59.92354409,902.8783133,0.554291426,53458.1434,8.363908064
-273.2259104,-10.88127161,,0.001442181,,-3.16E-07,2.19E-09,,104.2114895,594.6234388,0.554288791,53458.19127,8.411780517
-256.7362792,-45.32421753,0.222454058,,,-2.34E-07,1.76E-09,-406.6149605,516.2144566,,0.55428647,53458.23344,8.453951643
-260.2801113,,-0.141067277,0.004125878,-3.82E-05,,1.08E-09,89.90250322,,720.2383862,0.554267112,53458.58518,8.8056903
-189.8558522,-32.34454118,,0.004513425,-6.37E-05,2.81E-07,,-357.8570552,424.3109318,,0.554266677,53458.59308,8.813588714
-189.9073614,,-0.242126819,0.006802788,-7.82E-05,3.23E-07,,,52.29585991,510.8522307,0.554265823,53458.6086,8.829115502
-339.4925423,-4.958107581,,0.001184016,,-2.73E-07,1.90E-09,134.1198969,,874.7466462,0.554257203,53458.76522,8.985729657
-314.9548213,-13.40328073,,0.002501131,-2.83E-05,,8.76E-10,,122.9668876,663.0164429,0.554240708,53459.06492,9.285431275
-310.4387144,-54.47564527,0.293478139,,-1.63E-05,,6.95E-10,-463.081565,601.0515221,,0.55423964,53459.08433,9.30483765
-277.5818108,,-0.166575208,0.005314161,-6.38E-05,2.68E-07,,96.33479064,,761.0840713,0.554231047,53459.24045,9.460957954
-391.4656696,,,0.000960184,,-2.35E-07,1.64E-09,244.0912724,-86.35392639,1099.399453,0.554228646,53459.28407,9.504582582
-391.9846707,-21.51551801,0.143814665,,,-1.78E-07,1.34E-09,,166.1218682,758.4033869,0.554222641,53459.39317,9.61368399
-381.5196406,-6.123895438,,0.002018309,-2.36E-05,,7.40E-10,153.1566194,,967.0447645,0.554207958,53459.65992,9.880430082
-338.568245,-59.24667893,0.332763799,,-2.62E-05,1.48E-07,,-490.6229509,643.8714244,,0.554205574,53459.70324,9.923747811
-336.6191907,-14.78636084,,0.003139785,-4.61E-05,2.05E-07,,,132.9798872,696.4966222,0.554204728,53459.7186,9.939107334
-452.7692364,-10.13346087,0.105678764,,,-1.49E-07,1.13E-09,191.4877102,,1110.185036,0.554188514,53460.01315,10.2336643
-409.2404454,-72.18969877,0.50281179,-0.002569496,,,3.37E-10,-552.409625,747.4959239,,0.554185297,53460.0716,10.29211542
-433.4648027,,,0.001597198,-1.95E-05,,6.17E-10,279.246315,-102.3626116,1211.507531,0.554178286,53460.19896,10.41947072
-437.6511462,-25.33754475,0.184506435,,-1.17E-05,,4.97E-10,,189.3748568,822.2310852,0.554175344,53460.25241,10.47291777
-400.0308549,-6.700776357,,0.002487036,-3.76E-05,1.68E-07,,161.8694798,,1005.715068,0.554173039,53460.29427,10.51478535
-299.9546698,-18.27941503,0.164699394,-0.000813784,,,,,132.8413739,552.344269,0.554049223,53460.54321,10.76372165
-186.8257076,-32.98310043,0.219231019,-0.000979325,,,,-266.8646877,353.6574477,,0.554048072,53460.5641,10.78461343
-429.2861737,-75.72740591,0.547170589,-0.003037411,,5.17E-08,,-567.3938154,774.6727643,,0.554157498,53460.5766,10.79710877
-365.474945,-9.375712045,0.13125597,-0.000711065,,,,159.4928315,,878.2074646,0.55404642,53460.59411,10.81462631
-503.1219164,,0.071205719,,,-1.23E-07,9.26E-10,359.1650171,-146.6983683,1412.856036,0.554155706,53460.60915,10.82966363
-432.3795551,,0.095722669,-0.000601,,,,325.9395301,-139.2534861,1215.363266,0.554040654,53460.69881,10.9193237
-447.876036,,,0.001923984,-3.01E-05,1.35E-07,,292.7462745,-108.8942726,1248.90764,0.554144822,53460.80685,11.02736088
-453.2300257,-26.85890149,0.202764944,,-1.79E-05,1.00E-07,,,197.987011,839.9837934,0.554144571,53460.81142,11.03193036
-491.864134,-11.81732881,0.133111369,,-9.47E-06,,3.99E-10,211.1383117,,1190.36393,0.554142188,53460.85469,11.07520461
0.598870512,0.719019945,,,3.58E-06,-4.10E-08,,,,,0.553806305,53460.9536,11.17411103
-1.633346822,0.973141299,,-0.000867506,3.90E-05,-5.67E-07,2.67E-09,,,,0.554025798,53460.9686,11.18911667
-8.029296918,,,0.000216924,,-2.34E-08,,,4.880358045,,0.553803842,53460.99831,11.21881984
-464.8388791,16.66709203,,,-1.85E-06,,,546.4178853,-350.653845,1571.519076,0.554019771,53461.07805,11.29856662
-301.2691454,,0.047157428,,-2.73E-06,,,212.1357624,-84.85061519,846.4733646,0.55401962,53461.0808,11.30131388
-457.8069381,-81.00681627,0.631260379,-0.004407809,1.31E-05,,,-585.2798473,811.139104,,0.554129065,53461.09306,11.3135736
-246.8691558,-5.276022346,0.061835923,,-2.99E-06,,,104.5413799,,609.4016775,0.554015516,53461.15533,11.37584363
-509.7089085,-32.74024512,0.304635318,-0.001698655,,,2.15E-10,,229.4875391,910.1948624,0.554123352,53461.19685,11.41735774
-6.554660645,,,0.000332484,-3.21E-06,,,,4.429436605,,0.553792619,53461.20203,11.42253701
-604.0632274,24.97417771,,-0.000301213,,,,764.5155073,-508.14494,2094.865208,0.554010774,53461.24145,11.46195745
-193.0091549,-10.35312418,0.075828494,,-3.24E-06,,,,82.04649063,376.875547,0.55400965,53461.26186,11.48236799
-8.982989053,,,,1.05E-05,-2.00E-07,9.84E-10,,5.214276554,,0.553895301,53461.33808,11.558592
-498.9035676,-12.32910234,0.143323033,,-1.40E-05,7.72E-08,,215.5328612,,1200.788701,0.554114311,53461.36106,11.58157018
-534.6609526,,0.087402955,,-7.44E-06,,3.08E-10,392.1394203,-163.964661,1499.333115,0.554110976,53461.42164,11.64215202
-104.2881099,-18.29821857,0.097359141,,-3.61E-06,,,-166.4963377,211.5683046,,0.553996212,53461.50587,11.72637924
-508.3522596,-33.16090714,0.317439074,-0.001894724,,3.03E-08,,,230.3663873,899.8676466,0.554101834,53461.58768,11.80818958
-358.158655,12.35542258,,,,-1.49E-08,,409.4647195,-259.4356637,1203.998881,0.553990867,53461.60294,11.82344718
-44.2512632,,,,1.02E-05,-1.87E-07,8.74E-10,17.66700131,,113.42527,0.553990343,53461.61244,11.83295567
1.046888434,0.67364563,,0.000110137,,,-1.54E-10,,,,0.553765824,53461.68834,11.90885678
-40.26908669,,,0.000223739,,-2.33E-08,,16.27765609,,104.6003967,0.553875003,53461.70657,11.92708008
-548.3470428,-15.07930864,0.214177588,-0.001294354,,,1.56E-10,242.0691458,,1299.983153,0.554092698,53461.75363,11.97413703
-5.951181225,,0.013169213,,,,-1.17E-10,5.372188328,,,0.553760831,53461.77897,11.99948314
-167.4060903,,,0.000572836,-5.28E-06,,,97.59741292,-30.56106317,469.2967178,0.553981059,53461.78102,12.0015352
-532.1186151,,0.091813709,,-1.05E-05,5.65E-08,,394.0451959,-166.0449584,1491.502681,0.554086702,53461.86252,12.08303555
-135.9375607,-1.547939391,,0.000620357,-5.55E-06,,,53.58642233,,355.6917769,0.553973603,53461.91641,12.13692259
-502.3450412,-33.60348733,0.340573307,-0.002464007,6.73E-06,,,,229.9732445,878.1775651,0.554081877,53461.95016,12.17067137
-11.8819441,,,0.000406511,-3.96E-06,,,8.249997888,,,0.553749065,53461.99251,12.21301766
-2.274402723,1.152760481,-0.018267184,,1.85E-05,-3.35E-07,1.67E-09,,,,0.553969356,53461.99353,12.21404171
-603.7844763,20.7735388,,,,-6.74E-08,5.00E-10,700.7223315,-446.4181213,2026.520218,0.554079262,53461.99765,12.2181636
-534.5822068,-14.90801028,0.216563931,-0.00138267,,2.03E-08,,236.8229924,,1264.293278,0.554075576,53462.0646,12.28510759
-209.8661387,,0.030585877,,,-1.93E-08,,141.291408,-53.57447556,590.2854136,0.553965153,53462.06985,12.29035998
-97.61988092,-3.433928969,,0.000678595,-5.88E-06,,,,37.21578758,217.2805341,0.553963373,53462.10216,12.32266756
-760.4933468,49.15948359,-0.094422742,,,,,1181.909737,-862.2279301,2918.729601,0.553959702,53462.16881,12.3893227
